id,year,date,plant,latitude,longitude,elevation_m,bseverity,rep,hillslope,bstatus,yburned,td,temp10,temp5,moisture,sr
35,2023,8/15/2023,Wet graminoids,65.36089,-164.6784,92,-9999,-9999,flat,unburned,-9999,44.5,6.358233333,14.4564,0.350366667,0.63853
36,2023,8/15/2023,Wet graminoids,65.36087,-164.6784,92,-9999,-9999,flat,unburned,-9999,39,3.512133333,14.76886667,0.442166667,2.357516667
37,2023,8/15/2023,Wet graminoids,65.36091,-164.6784,92,-9999,-9999,flat,unburned,-9999,46.625,6.2213,14.6964,0.4776,2.10214
38,2023,8/16/2023,Shrubs,65.42729,-164.6125,168,-9999,-9999,u,burned,2015,88.125,8.288866667,13.62693333,0.233333333,0.612226667
39,2023,8/16/2023,Shrubs,65.4273,-164.6125,168,-9999,-9999,u,burned,2015,84.25,8.132333333,14.8089,0.383533333,2.707056667
40,2023,8/16/2023,Shrubs,65.42734,-164.6125,168,-9999,-9999,u,burned,2015,78.75,9.0443,14.7086,0.274133333,1.637966667
41,2023,8/16/2023,Dry graminoids,65.42736,-164.6125,171,-9999,-9999,u,burned,2015,56.5,6.881766667,14.46306667,0.329533333,1.709813333
42,2023,8/16/2023,Dry graminoids,65.42737,-164.6126,171,-9999,-9999,u,burned,2015,60.875,7.143466667,14.1,0.136766667,3.8848
43,2023,8/16/2023,Dry graminoids,65.42739,-164.6126,171,-9999,-9999,u,burned,2015,69.125,7.244766667,15.36833333,0.072166667,3.750706667
44,2023,8/16/2023,Dry graminoids,65.42767,-164.6128,171,-9999,-9999,u,burned,2015,73.75,7.715033333,16.21276667,0.367366667,5.63882
45,2023,8/16/2023,Dry graminoids,65.42764,-164.6128,171,-9999,-9999,u,burned,2015,78,7.136766667,17.47056667,0.222633333,2.118126667
46,2023,8/16/2023,Dry graminoids,65.42765,-164.6128,171,-9999,-9999,u,burned,2015,75.25,6.759566667,17.01666667,0.1801,1.07233
47,2023,8/20/2023,Wet graminoids,65.44045,-164.664,95,-9999,-9999,f,burned,2019,71.375,5.092066667,9.6986,0.6137,0.845396667
48,2023,8/20/2023,Wet graminoids,65.44048,-164.664,95,-9999,-9999,f,burned,2019,75.375,5.5126,9.921666667,0.608866667,0.147916667
49,2023,8/20/2023,Wet graminoids,65.44049,-164.664,95,-9999,-9999,f,burned,2019,68.75,5.243066667,7.506933333,0.7702,1.087743333
50,2023,8/20/2023,Shrubs,65.44013,-164.6635,95,-9999,-9999,f,burned,2019,69.25,5.155633333,10.5811,0.1942,1.995066667
51,2023,8/20/2023,Shrubs,65.44016,-164.6636,95,-9999,-9999,f,burned,2019,64.25,4.2752,10.03563333,0.532666667,1.189893333
52,2023,8/20/2023,Shrubs,65.44016,-164.6635,95,-9999,-9999,f,burned,2019,69.75,4.819933333,9.609433333,0.481666667,0.906686667
53,2023,8/20/2023,Dry graminoids,65.44009,-164.6636,97,-9999,-9999,f,burned,2019,82.25,5.229466667,9.795566667,0.445333333,0.989003333
54,2023,8/20/2023,Dry graminoids,65.44009,-164.6636,97,-9999,-9999,f,burned,2019,84.875,5.1773,9.399433333,0.507166667,1.062463333
55,2023,8/20/2023,Dry graminoids,65.44009,-164.6636,97,-9999,-9999,f,burned,2019,77.5,5.9864,9.507233333,0.445166667,0.926783333
